"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\dev\build_buddy_1.2\frontend\src\lib\assetUtils.ts", "TypeScript", 0, -9, -1, -3, -13
"c:\dev\build_buddy_1.2\frontend\src\lib\axiosUtils.ts", "TypeScript", 0, -14, -2, -3, -19
"c:\dev\build_buddy_1.2\frontend\src\lib\utils.ts", "TypeScript", 0, -5, -3, -4, -12
"c:\dev\build_buddy_1.2\frontend\src\pages\dashboard-page\DashboardPage.tsx", "TypeScript JSX", 56, 0, 4, 5, 65
"c:\dev\build_buddy_1.2\frontend\src\pages\landing-page\LandingPage.tsx", "TypeScript JSX", 79, 0, 1, 3, 83
"c:\dev\build_buddy_1.2\frontend\src\pages\landing-page\components\FeatureCard.tsx", "TypeScript JSX", 20, 0, 1, 3, 24
"c:\dev\build_buddy_1.2\frontend\src\pages\login-page\LoginPage.tsx", "TypeScript JSX", 10, 0, 0, 2, 12
"c:\dev\build_buddy_1.2\frontend\src\pages\login-page\components\LoginForm.tsx", "TypeScript JSX", 111, 0, 12, 11, 134
"c:\dev\build_buddy_1.2\frontend\src\pages\notes-page\NotesPage.tsx", "TypeScript JSX", 24, 0, 2, 3, 29
"c:\dev\build_buddy_1.2\frontend\src\pages\notes-page\plate\editor.tsx", "TypeScript JSX", 130, 0, 65, 24, 219
"c:\dev\build_buddy_1.2\frontend\src\pages\projects-page\ProjectsPage.tsx", "TypeScript JSX", 42, 0, 2, 5, 49
"c:\dev\build_buddy_1.2\frontend\src\pages\projects-page\components\DueDatePicker.tsx", "TypeScript JSX", 52, 0, 0, 7, 59
"c:\dev\build_buddy_1.2\frontend\src\pages\projects-page\components\ProjectCard.tsx", "TypeScript JSX", 185, 0, 2, 19, 206
"c:\dev\build_buddy_1.2\frontend\src\pages\projects-page\components\ProjectForm.tsx", "TypeScript JSX", 127, 0, 0, 7, 134
"c:\dev\build_buddy_1.2\frontend\src\pages\projects-page\components\StatusTabs.tsx", "TypeScript JSX", 47, 0, 0, 4, 51
"c:\dev\build_buddy_1.2\frontend\src\pages\register-page\RegisterPage.tsx", "TypeScript JSX", 10, 0, 0, 2, 12
"c:\dev\build_buddy_1.2\frontend\src\pages\register-page\components\RegisterForm.tsx", "TypeScript JSX", 144, 0, 3, 7, 154
"c:\dev\build_buddy_1.2\frontend\src\pages\tasks-page\TasksPage.tsx", "TypeScript JSX", 16, 0, 1, 4, 21
"c:\dev\build_buddy_1.2\frontend\src\pages\tasks-page\components\ProjectNameCombobox.tsx", "TypeScript JSX", 87, 0, 7, 8, 102
"c:\dev\build_buddy_1.2\frontend\src\pages\tasks-page\components\ProjectToggleTabs.tsx", "TypeScript JSX", 30, 0, 0, 3, 33
"c:\dev\build_buddy_1.2\frontend\src\pages\tasks-page\components\TaskForm.tsx", "TypeScript JSX", 238, 0, 7, 16, 261
"c:\dev\build_buddy_1.2\frontend\src\pages\tasks-page\components\tasks-table\columns.tsx", "TypeScript JSX", 106, 0, 11, 10, 127
"c:\dev\build_buddy_1.2\frontend\src\pages\tasks-page\components\tasks-table\data-table.tsx", "TypeScript JSX", 179, 0, 15, 14, 208
"Total", "-", 1693, -28, 127, 147, 1939
